Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR     539,,,,,RCA VICTOR,,,,"LES CHEMINS D'AMOUR / HOW DO I LOVE THEE SWARTHOUT, GLADYS (MEZZO-SOPRANO). GIBNER KING (PIANIST). RCA VICTOR 10-1422. RED AND GOLD LABELS. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE."
HSTR     540,,,,,EDWARD A. ROCHE STUDIOS,,,,"ESTRALLITA / ANNIE LAURIE TRUMAN, MARGARET (SOPRANO). EDWARD A. ROCHE STUDIOS, 1310 WYANDOTTE, KANSAS CITY. TITLES PENCILED ON SLEEVE, DISK LABELS, AND RECORDING LABEL. SLEEVE HAS RED ""DUB"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK. ONE LABEL DETACHED, ONE MISSING."
HSTR     541,,,,,EDWARD A. ROCHE STUDIOS,,,,"DUET TRUMAN, MARGARET (LIKELY). EDWARD A. ROCHE STUDIOS, 1310 WYANDOTTE, KANSAS CITY. BLACK AND YELLOW ""AUDIODISC"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. WHITE FILM ON DISK. RECORDING LABELS MISSING."
HSTR     542,,,,,DAMON RECORDING STUDIOS INC.,,,,"CHARMANT OISEAU / LA FAUVETTE TRUMAN, MARGARET (SOPRANO). MRS. FREDERIC SHAW (PIANO). LIB KNOWLAND (FLUTE). VIC DAMON AUDITION TRANSCRIPTION, 1221 BALTIMORE AVE. KANSAS CITY. PENNED ON SLEEVE ""2ND COPY"". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE."
HSTR     543,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 5 & 14)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #544-547, 549-550, 552, 554 (RECORDS) GLUE HAS PERMEATED PAPER LABELS."
HSTR     544,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 4 & 13)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 549-550, 552, 554 (RECORDS) GLUE HAS PERMEATED PAPER LABELS."
HSTR     545,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 3 & 12)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 459-550, 552, 554 (RECORDS) GLUE HAS PERMEATED PAPER LABELS."
HSTR     546,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 1 & 10)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 549-550, 552, 554 (RECORDS) GLUE HAS PERMEATED PAPER LABELS."
HSTR     547,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 2 & 11)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-546, 549-550, 552, 554 (RECORDS) GLUE HAS PERMEATED PAPER LABELS."
HSTR     548,,,,,,,,,"UNKNOWN TITLE  SLEEVE HAS PENNED ""TRUMAN/RECORD"". NO LABELS ON DISK. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. SEE #567 (RECORD)."
HSTR     549,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 6 & 15)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 550, 552, 554 (RECORDS). GLUE HAS PERMEATED PAPER LABELS."
HSTR     550,,,,,NATIONAL BROADCASTING CO.,12/ 3/1950,,,"BIG SHOW, THE. 12/3/50 (SIDES 8 & 17)  NBC RADIO-RECORDING DIVISION, BROADCAST. 78 RPM. WHITE AND BLUE ""REFERENCE RECORDING"" LABELS. MANILA SLEEVE. FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. GOES WITH #543-547, 549, 552, 554 (RECORDS). GLUE HAS PERMEATED PAPER LABELS."
HSTR     551,,,,,COLUMBIA RECORDS,,,,"BACHIANAS BRASILEIRAS, NO.5 (VILLA-LOBOS) SAYAO, BIDU (SOPRANO), WITH CELLO AND BASS. VILLA-LOBOS, HEITOR (CONDUCTOR). COLUMBIA MASTERWORKS 71670-D. ""COLUMBIA"" SLEEVE HAS LABEL FROM ""THE DISC SHOP/.../WASHINGTON, D.C."". FOUND IN #462 (CABINET). a-DISC, b-SLEEVE. SLEEVE BRITTLE."
