Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR    5323,,,,,,05/1950,,,"TRAIN GOING TO DEDICATION OF GRAND COULEE DAM.  DEDICATION DATE: MAY 11, 1950. IN INK ON SLEEVE ""RECORD MADE ON THE/TRAIN GOING TO DEDICATION OF/GRAND COULEE DAM/CHARLIE ROSS/BERT ANDREWS/SILVESTER/SENT TO ME FOR CHRISTMAS/BY BERT ANDREWS."" HANDWRITING OF HST. BERT ANDREWS WAS A NEWSPAPER REPORTER FOR THE NEW YORK HERALD-TRIBUNE, BEGINNING IN 1937, AND WAS CHIEF WASHINGTON CORRESPONDENT.  INFO OBTAINED FROM LIZ SAFLY, HSTL, 13JUNE1991. 1 DISC, 78 RPM, IN BROWN PAPER SLEEVE."
HSTR    5324,,,,,AMERICAN RECORDING ARTISTS,,,,"JELLY BEAN / DARK TOWN POKER CLUB  HARRIS, PHIL AND HIS ORCHESTRA WRITTEN IN PENCIL ON SLEEVE: ""FROM/ ANNETTE"" a-RECORD, b-BROWN PAPER SLEEVE AMERICAN RECORDING ARISTS RM116 A/B, 1 DISC, 78 RPM"
HSTR    5325,,,,,RCA VICTOR,,,,"LOADED PISTOLS, LOADED DICE / NOW YOU'VE GONE AND HURT MY SOUTHERN PRIDE  HARRIS, PHIL AND HIS ORCHESTRA  a-RECORD, b-BROWN PAPER SLEEVE RCA VICTOR 20-2575 A/B, 1 DISC, 78 RPM.   FOUND BROKEN IN ITS SLEEVE, 1988."
HSTR    5326,,,,,SEECO RECORDS,,,,"NUESTRO REGIMENTO / DE TI ENAMORAO  CAPO, BOBBY & EL TRIO VEGABAJENO Y ORQUESTRA  a-RECORD, b-BROWN PAPER SLEEVE SEECO 7083 A/B, 1 DISC, 78 RPM.  FOUND BROKEN IN PAPER SLEEVE, 1988."
HSTR    5327,,,,,MIDLAND RECORDING LAB,02/22/1941,,,"SENATOR TRUMAN ADDRESS, FEBRUARY 22, 1941  PARTS 1 & 3   HANDWRITTEN LABEL, WITH ""MIDLAND RECORDING LABORATORIES, KANSAS CITY, MISSOURI, PRINTED AT T, ""DEXTER PERRY"" SIGNED UNDERNEATH.  GOES WITH #5328.  a-RECORD, b-BROWN PAPER SLEEVE. 1 DISC, 78 RPM"
HSTR    5328,,,,,MIDLAND RECORDING LAB,02/22/1941,,,"SENATOR TRUMAN ADDRESS, FEBRUARY 22, 1941  PARTS 2 & 4   HANDWRITTEN LABEL, WITH ""MIDLAND RECORDING LABORATORIES, KANSAS CITY, MISSOURI"" PRINTED AT T, ""DEXTER PERRY"" SIGNED UNDERNEATH.  GOES WITH #5327.  a-RECORD, b-BROWN PAPER SLEEVE. 1 DISC, 78 RPM"
HSTR    5329,,,,,APOLLO RECORDS,,,,"IT TAKES A LONG TALL BROWN SKIN GAL  /  HONEY CHILE FOUR BLUES, THE   [JAZZ QUARTET]  INSCRIBED ON SLEEVE ""MEMORIES OF THE 129 F. A. BAND!/EACH MORNING AT 4:30 A.M./ CAMP DONIPHAN/FT. SILL, OKLA./ARTHUR W. WILLSON"" APOLLO RECORDS 398, 1 DISC, 78 RPM, IN BROWN PAPER SLEEVE"
HSTR    5330,,,,,MIDWESTERN RECORDING STUDIOS,,,,"BRIMFUL OF LOVE / LOCKED LOVE SCOVEL, NAOMI (SOLOIST, COMPOSER, AND LYRICIST)  RECORDED AT MIDWESTERN RECORDING STUDIOS, KANSAS CITY, SEPTEMBER 21, 1950  1 DISC, 78 RPM, IN BROWN PAPER SLEEVE.   SLEEVE TORN."
HSTR    5331,,,,,AUDIO DEVICES INC.,,,,"BEETHOVEN: SONATA IN A-FLAT SCHERZO / ETUDE OP.10 #12 GATES, GEORGE W. III (PIANIST)  HANDWRITTEN LABEL, WITH ""AUDIO DEVICES INCORPORATED NEW YORK"" PRINTED AT T.  1 DISC, 78 RPM, IN BROWN PAPER SLEEVE"
HSTR    5332,,,,,ANTLERS RECORDS,1950,,,"ANTLERS BARBER SHOP QUARTET. VOL.01 ANTLERS, THE: SCHINDLER, BILL (BARITONE), AUGSBURY, HAP (BASS), MORTON, JAY (TENOR), BROOKS, BARNEY (LEAD). LENGTHY INSCRIPTION TO PRESIDENT TRUMAN FROM THE ANTLERS, SEE NOTEBOOK ""PHONO RECORDS"". a-ALBUM, b-d-RECORDS. ANTLERS RECORDS 1312/13, 1314/15, 1316/17,  3 DISCS, 78 RPM, IN ALBUM"
HSTR    5333,,,,,RCA VICTOR,,,,"MARGARET TRUMAN - AMERICAN SONGS TRUMAN, MARGARET (SOPRANO) SHAW, ROBERT (CONDUCTOR).  THE RCA VICTOR ORCHESTRA, THE ROBERT SHAW CHORALE.  a-ALBUM, b-e-RECORDS, f-CARDBOARD PADDING. RCA VICTOR 10-3134, 3135, 3136, 3137,  4 DISCS, 78 RPM, IN ALBUM"
HSTR    5334,,,,,SEVA RECORDS CORPORATION,1948,,,"ROMAN-VATICAN CHOIR, CONDUCTED BY RT. REV. MSGR. LICINIO REFICE ROMAN-VATICAN CHOIR REFICE, LICINIO (DIRECTOR)  a-ALBUM, b-e-RECORDS, f-CARDBOARD. CONTAINED #29106 (NOTE). SEVA RECORD CORPORATION 7001, 7007-7009, 4 DISCS, 78 RPM, IN ALBUM"
HSTR    5335,,,,,REXFORD RECORDS,1945-1952,,,"THIS IS OUR AMERICA MIDDLETON, RAY (VOCALIST) GILLIS, DON (COMPOSER AND CONDUCTOR) IMPRESSED ON BLUE COVER: ""TO THE HONORABLE HARRY S. TRUMAN PRESIDENT OF THE UNITED STATES"" a-ALBUM, b-c-RECORDS. REXFORD 501/502, 2 DISCS, 78 RPM.  PAPER CLIP FOUND ON FIRST SLEEVE, DISCARDED DEC. 1986."
HSTR    5336,,,,,INTERNATIONAL RECORDS,1946,,,"VINCENT LOPEZ, HIS PIANO, HIS HOTEL TAFT ORCHESTRA LOPEZ, VINCENT (PIANIST) AND HIS ORCHESTRA  INSCRIBED ON COVER ""SINCERE GREETINGS FROM VINCENT LOPEZ TO PRESIDENT HARRY S. TRUMAN"". a-ALBUM, b-d-RECORDS. INTERNATIONAL RECORDS D258-260, 3 DISCS, 78 RPM, IN ALBUM"
HSTR    5337,,,,,RCA VICTOR,,,,"MUSIC TO REMEMBER FROM THE LIFE OF CHOPIN BY JOSE ITURBI ITURBI, JOSE (PIANIST)   a-DOUBLE JACKET, b-c-RECORDS. VICTOR 10-1140/1141, 2 DISCS, 78 RPM, IN ALBUM"
HSTR    5338,,,,,COLUMBIA RECORDS,02/1952,,,"RECORDINGS BY CHAMP CLARK BUTLER.... BUTLER, CHAMP (VOCALIST) BROWN, LES,  WESTON, PAUL,  AND MARTIN, SKIPPY  (CONDUCTORS). FRONT COVER INDICATES ALBUM PRESENTED TO PRESIDENT TRUMAN AT THE WHITE HOUSE, FEB. 1952. a-ALBUM, b-i RECORDS. COLUMBIA RECORDS, 8 DISCS, 78 RPM.  FOUR JACKETS EMPTY AT END OF ALBUM."
HSTR    5339,,,,,COLUMBIA RECORDS,,,,"GERSHWIN: CONCERTO IN F FOR PIANO AND ORCHESTRA LEVANT, OSCAR (PIANIST) KOSTELANETZ, ANDRE (CONDUCTOR).  THE PHILHARMONIC-SYMPHONY ORCHESTRA OF NEW YORK.   COLUMBIA ML 4025 (MONO), 1 DISC, 33 1/3 RPM, WITH JACKET"
HSTR    5340,,,,,COLUMBIA RECORDS,,,,"GERSHWIN: RHAPSODY IN BLUE / AN AMERICAN IN PARIS LEVANT, OSCAR (PIANIST) ORMANDY, E. & RODZINSKI, A. (CONDUCTORS).  THE PHILADELPHIA ORCHESTRA, THE PHILHARMONIC - SYMPHONY ORCHESTRA OF NEW YORK.  COLUMBIA ML 4026 (MONO), 1 DISC, 33 1/3 RPM, IN JACKET"
HSTR    5341,,,,,,,,,"TCHAIKOVSKY: SYMPHONY NO. 5 IN E MINOR, OP. 64  RODZINSKI, ARTUR (CONDUCTOR).  THE CLEVELAND ORCHESTRA.   COLUMBIA ML 4052 (MONO).  1 DISC, 33 1/3 RPM, IN JACKET."
HSTR    5342,,,,,COLUMBIA RECORDS,,,,"KHACHATURIAN: GAYNE - BALLET SUITES NOS. 1 & 2  KURTZ, EFREM (CONDUCTOR).  THE PHILHARMONIC-SYMPHONY ORCHESTRA OF NEW YORK   COLUMBIA ML 4030, 1 DISC, 33 1/3 RPM, IN PAPER SLEEVE AND CARDBOARD JACKET."
HSTR    5343,,,,,,,,,"KHACHATURIAN: CONCERTO FOR PIANO AND ORCHESTRA (1936) KAPELL, WILLIAM (PIANIST) KOUSSEVITZKY, SERGE (CONDUCTOR).   THE BOSTON SYMPHONY ORCHESTRA.  a-JACKET, b-RECORD RCA LM 1006 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5344,,,,,COLUMBIA RECORDS,,,,"MILHAUD: SAUDADES DO BRAZIL / CONCERTO NO. 4 FOR PIANO AND ORCHESTRA SKOLOVSKY, ZADEL (PIANIST) MILHAUD, DARIUS (CONDUCTOR).  THE ORCHESTRE NATIONAL DE LA RADIODIFFUSION FRANCAIS.   COLUMBIA ML 4523 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5345,,,,,,,,,"GILBERT & SULLIVAN OVERTURES  GODFREY, ISIDORE (CONDUCTOR).   THE NEW PROMENADE ORCHESTRA.   LONDON LLP 398 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5346,,,,,,,,,"WAGNER: MUSIC FROM ""TRISTAN AND ISOLDE""  STOKOWSKI, LEOPOLD (CONDUCTOR).   THE LEOPOLD STOKOWSKI SYMPHONY ORCHESTRA.   RCA LM 1174 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5347,,,,,,,,,"MODERN AMERICAN MUSIC  WILLSON, MEREDITH (CONDUCTOR).  THE MEREDITH WILLSON CONCERT ORCHESTRA.   DECCA DL 8025 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5348,,,,,COLUMBIA RECORDS,,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME I  [DEBUSSY, RAVEL, FAURE] DEBUSSY, CLAUDE, & FAURE, GABRIEL, & RAVEL, MAURICE (PIANISTS)   SAME AS #5349. COLUMBIA ML 4291 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5349,,,,,COLUMBIA RECORDS,,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME I  [DEBUSSY, RAVEL, FAURE] DEBUSSY, CLAUDE & FAURE, GABRIEL, & RAVEL, MAURICE (PIANISTS)   SAME AS #5348. COLUMBIA ML 4291 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5350,,,,,COLUMBIA RECORDS,1950,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME II   [SAINT-SAENS, BUSONI] SAINT-SAENS, CAMILLE & BUSONI, FERRUCCIO (PIANISTS)  ""COPYRIGHT 1950"" PRINTED AT BL ON FRONT OF JACKET. SAME AS #5351. COLUMBIA ML 4292 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5351,,,,,COLUMBIA RECORDS,,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME II  [SAINT-SAENS, BUSONI] SAINT-SAENS, CAMILLE & BUSONI, FERRUCCIO (PIANISTS)  ""COPYRIGHT 1950"" PRINTED ON FRONT JACKET AT BL. SAME AS #5350. COLUMBIA ML 4292 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5352,,,,,COLUMBIA RECORDS,,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME III  [GRIEG, LESHCETIZKY, D'ALBERT, ET AL] GRIEG, E. & LESCHETIZKY, T. & D'ALBERT, E. & NIKISH, A. & REGER, M. (PIANISTS)   SAME AS #5353. COLUMBIA ML 4293 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5353,,,,,COLUMBIA RECORDS,,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME III  [GRIEG, LESCHETIZKY, D'ALBERT, ET AL] GRIEG, E. & LESCHETIZKY, T. & D'ALBERT, E. & NIKISCH, A. & REGER, M. (PIANISTS)   SAME AS #5352. COLUMBIA ML 4293 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET."
HSTR    5354,,,,,COLUMBIA RECORDS,1950,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME IV  [PADREWSKI, DE PACHMANN, ET AL] PADREWSKI, DE PACHMANN, DE FALLA, GRANADOS, SCHARWENKA, MARSHALL  (PIANISTS)  ""COPYRIGHT 1950"" PRINTED AT BL ON FRONT COVER.  COLUMBIA ML 4294 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5355,,,,,COLUMBIA RECORDS,1950,,,"GREAT MASTERS OF THE KEYBOARD, VOLUME V  [R. STRAUSS, MAHLER, SCRIABIN, REGER] STRAUSS, RICHARD & MAHLER, GUSTAV & SCRIABIN, ALEXANDER & REGER, MAX  (PIANISTS)  ""COPYRIGHT 1950"" PRINTED ON FRONT COVER AT BL.  COLUMBIA ML 4295 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5356,,,,,DECCA RECORDS,,,,"MOZART: CONCERTO NO. 18 IN B-FLAT MAJOR OR PIANO & ORCHESTRA, K. 456..... * KRAUS, LILI (PIANIST) AND GOLDBERG, SYZMON (VIOLINIST) GOEHR, WALTER (CONDUCTOR).  THE LONDON PHILHARMONIA ORCHESTRA. *[RECORD TITLE CONTINUED:] MOZART: SONATA IN C-MAJOR FOR PIANO & VIOLIN, SCHUBERT: LANDLER  DECCA PARLOPHONE DL 8505 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5357,,,,,,,,,"BIZET: CARMEN - EXCERPTS STEVENS, RISE (CARMEN), JOBIN, RAOUL (DON JOSE), AND WEEDE, ROBERT (ESCAMILLO). SEBASTIAN, GEORGE (CONDUCTOR).  THE METROPOLITAN OPERA ORCHESTRA AND CHORUS."
HSTR    5358,,,,,COLUMBIA RECORDS,,,,"MOZART: CONCERTO IN E-FLAT MAJOR FOR TWO PIANOS AND ORCHESTRA, K. 365.... * VRONSKY AND BABIN (DUO-PIANISTS),  LHEVINNE, VRONKSKY AND BABIN (ON THREE PIANOS) MITROPOULOS, DIMITRI & SCHERMAN, THOMAS K. (CONDUCTORS) *[TITLE CONTINUED:] MOZART: CONCERTO NO. 7 IN F MAJOR FOR THREE PIANOS, K. 242  COLUMBIA ML 4098 (MONO), 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5359,,,,,COLUMBIA RECORDS,,,,"BEST OF THE GREAT SONGS OF CHRISTMAS (ALBUM 10) VARIOUS ARTISTS CONDUCTOR'S NAME NOT GIVEN   COLUMBIA/GOOD YEAR CSS 1478, 1 DISC, 33 1/3 RPM, IN CARDBOARD JACKET"
HSTR    5360,,,,,,1947,,,"VARIOUS TITLES. HALL, EVERETT W. ACCOMPANIED BY ARTHUR ROBERTS AND THE CHORUS OF S.U.I. PHYSICS DEPT. TWO 10"" DISCS AND TWO 12"" DISCS IN SLEEVES. UNKNOWN RPM. TEXTURED PURPLE PAPER COVERS. SEE CATALOG FOLDER. a-ALBUM, b-e-DISCS, f-CARDBOARD INSERT. CONTAINED #5361 (LETTER) AND #5362 (PROGRAM). SPINE FADED. CORNERS AND EDGES WORN."
HSTR    5363,,,,,RCA VICTOR,,,,"MOUSSORGSKY: PICTURES AT AN EXHIBITION. HOROWITZ, VLADIMIR (PIANIST). RCA VICTOR DM 1249. 4 DISCS IN SLEEVES. UNKNOWN RPM. STAMPED ON SLEEVE OF b: ""114H59D"". ORANGE COVER. GREEN CLOTH BINDING. a-ALBUM, b-e-DISCS. EDGES AND CORNERS WORN."
HSTR    5364,,,,,URANIA RECORDS,09/15/1964,,,"JOSEF FIDELMAN PLAYS - RECITAL NO. 2.
FIDELMAN, JOSEF (PIANIST).
URANIA RECORDS US 58031. UNKNOWN RPM.
IN FELT TIP ON RECORD LABEL: ""THE/HONORABLE AND/MRS. HARRY S. TRUMAN/ JOSEF FIDELMAN"". ON CLEAR PLASTIC FRAGMENT IN JACKET, IN PEN: ""ACK'D/9-15-64/HST"". a-JACKET, b-DISC, c-SLEEVE, d-PLASTIC FRAGMENT. SEE CATALOG FOLDER. SLEEVE YELLOWED. CORNERS BENT."
HSTR    5365,,,,,RCA VICTOR,06/17/1964,,,"KEYBOARD GIANTS OF THE PAST.
VARIOUS ARTISTS.
RCA VICTOR LM-2585. 33.3 RPM.
AT TL OF JACKET IN RED PEN: ""FROM/PAUL & MADELINE/RIDER DAYTON, OHIO/ACK'D 6-17-64/HST"". ON IRREGULAR GREEN PAPER FRAGMENT INSIDE JACKET: ""RIDER/6/6/64/07"". a-JACKET, b-DISC, c-SLEEVE, d-PAPER FRAGMENT. SEE CATALOG FOLDER. EDGES AND CORNERS WORN."
HSTR    5366,,,,,RCA VICTOR,1962,,,"KEYBOARD GIANTS OF THE PAST. VARIOUS ARTISTS. RCA VICTOR LM-2585. 33.3 RPM. BLUE COVER. SEALED IN PLASTIC. UNOPENED. ON ROUND ADHESIVE LABEL ON COVER, TR: ""HI FI/MFRS SUGGESTED LIST/OUR PRICE/C/G.S."".  PLASTIC SOMEWHAT YELLOWED. HOLE IN PLASTIC ON TL, BACK."
HSTR    5367,,,,,DOT RECORDS,1963,,,"LIBERACE CHRISTMAS, A LIBERACE (PIANIST). DOT RECORDS DLP 3550. 33.3 RPM. PURPLE COVER. PHOTO OF LIBERACE IN GOLD JACKET ON COVER. DATE ON #29200 IS 30DEC1963. a-JACKET, b-DISC, c-SLEEVE. CONTAINED #29200 (LETTER). SEE CATALOG FOLDER. c CREASED AND YELLOWED. PAPER SPLIT AT TC OF JACKET."
HSTR    5368,,,,,COLUMBIA RECORDS,,,,"GREAT SONGS OF CHRISTMAS, ALBUM THREE VARIOUS ARTISTS. COLUMBIA CSP 117. UNKNOWN RPM. WHITE COVER WITH PHOTOGRAPHS OF ARTISTS. AT TR ON FRONT: ""CREATED EXCLUSIVELY FOR GOOD YEAR BY COLUMBIA SPECIAL PRODUCTS/A SERVICE OF COLUMBIA RECORDS"". d: WHITE ENVELOPE WITH RED INTERIOR. e: BUSINESS REPLY ENVELOPE. a-JACKET, b-DISC, c-SLEEVE, d-e-ENVELOPES. SEE CATALOG FOLDER. CORNERS AND EDGES FADED."
HSTR    5369,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: FERRUCCIO BUSONI PERFORMS IN 1905 PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVE YELLOWED."
HSTR    5370,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: DEBUSSY AND RAVEL PERFORM IN 1913 DEBUSSY AND RAVEL. PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE BACKED LABELS. b-TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVE YELLOWED."
HSTR    5371,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: JOSEF HOFMANN PERFORMS IN 1913 HOFMANN, JOSEF (PIANIST). PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE. a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVE YELLOWED."
HSTR    5372,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: PADEREWSKI PERFORMS IN 1906 PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVES YELLOWED."
HSTR    5373,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: GRANADOS PERFORMS IN 1913 / DEFALLA PERFORMS CIRCA 1906. PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. SIDE 2 LABEL DETACHED. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-LABEL. LABELS AND SLEEVE YELLOWED."
HSTR    5374,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: LESCHETIZKY PERFORMS IN 1906 PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVES YELLOWED."
HSTR    5375,,,,,,,,,"WELTE LEGACY OF PIANO TREASURES: DR. RICHARD STRAUSS PERFORMS IN 1906 PRODUCED BY WALTER S. HEEBNER. 33.3 RPM. LABELS DETACHED FROM RECORD. c-d: MIMEOGRAPHED(?) TEXT ON ADHESIVE-BACKED LABELS. b: TRANSLUCENT WHITE PAPER SLEEVE.  a-DISC, b-SLEEVE, c-d-LABELS. LABELS AND SLEEVE YELLOWED."
HSTR    5376,,,,,,05/12/1958,,,"PIANO RECITAL. TRUMAN, JOHN ROSS. 33.3 RPM. ON LABEL, TYPED: ""PIANO RECITAL/BY: JOHN ROSS TRUMAN/TRUMAN MEMORIAL LIBRARY/MAY 12, 1958"".  a-DISC, b-JACKET. JACKET SLIGHTLY WRINKLED."
HSTR    5377,,,,,FOLKWAYS RECORDS AND SERVICE,1957,,,"VEEP: THE STORY OF ALBEN WILLIAM BARKLEY BARKLEY, ALBEN W. SHALETT, SIDNEY (INTERVIEWER). FOLKWAYS RECORDS ALBUM FS 3870. 33.3 RPM. BLUE AND BLACK COVER. INCLUDES ANECDOTES ABOUT ALBEN'S TERM AS TRUMAN'S VICE PRESIDENT. a-JACKET, b-DISC, c-SLEEVE, d-TRANSCRIPT OF RECORD, e-CATALOG, f-CATALOG PAGE. PAPER YELLOWED. EDGES AND CORNERS WORN."
HSTR    5378,,,,,LONDON RECORDS,CIRCA 1956,,,"STRAUSS: DIE FLEDERMAUS CHORUS OF THE VIENNA STATE OPERA. VIENNA PHILHARMONIC ORCHESTRA. KRAUSS, CLEMENS (CONDUCTOR). LONDON XLLP 281-282. NO RPM. BLACK SPINE. PINK AND BLUE COVER. GIFT TAG HAS: ""FROM/F.K."". a-ALBUM, b-c-DISCS, d-PROGRAM, e-CATALOG, f-TAG."
HSTR    5379,,,,,MERCURY RECORDS,1955,,,"TCHAIKOVSKY: THE SLEEPING BEAUTY MINNEAPOLIS SYMPHONY ORCHESTRA. DORATI, ANTAL (CONDUCTOR). MERCURY OL-3-103. NO RPM. SILVER CLOTH COVER. CONTAINS ATTACHED STORY BOOK. a-ALBUM, b-d-DISCS, e-FLYER, f-CATALOG."
HSTR    5380,,,,,ANGEL RECORDS,,,,"CHOPIN PIANO RECITAL MALCUZYNSKI, WITOLD (PIANO). ANGEL 35171. 33 RPM. BLACK DOWEL ATTACHED TO SLEEVE. LIGHT GRAY JACKET. a-DISC, b-JACKET, c-SLEEVE."
HSTR    5382,,,,,COLUMBIA RECORDS,1949,,,"SOUTH PACIFIC MARTIN, MARY AND EZIO PINZA (VOCALS) WITH ORIGINAL BROADWAY CAST. DELL'ISOLA, SALVATORE (DIRECTOR). COLUMBIA MASTERWORKS MM-850. NO RPM. BLACK SPINE. BLUE AND YELLOW COVER. a-ALBUM, b-h-DISCS, i-PAD."
HSTR    5383,,,,,RCA VICTOR,,,,"PATRICE MUNSEL PROGRAM, A MUNSEL, PATRICE (SOPRANO) WITH THE GUILD CHORISTERS AND ORCHESTRA. GOODMAN, AL (CONDUCTOR). RCA VICTOR M-1130. NO RPM. PEACH COLORED SPINE. GREEN AND YELLOW COVER. a-ALBUM, b-e-DISCS."
HSTR    5384,,,,,PARAGON RECORDS INC.,05/12/1948,,,"PIANO POETRY
WILLIAMS, BURRUS (PIANO).
PARAGON P1. NO RPM. BLACK SPINE. YELLOW COVER. PENNED INSIDE FRONT COVER: ""FOR PRESIDENT TRUMAN/A WONDERFUL & APPRECIATIVE AUDIENCE/ SINCERELY/BURRUS WILLIAMS/MAY 12, 1948"". a-ALBUM, b-d-DISCS. CONTAINED #5385 (LETTER)."
HSTR    5386,,,,,DECCA RECORDS,1951,,,"CHOPIN PIANO RECITAL ARRAU, CLAUDIO, WITH LILI KRAUS AND EILEEN JOYCE (PIANOS). DECCA DL-8517. 33 RPM. LIGHT GRAY, WHITE, YELLOW AND RED JACKET. a-DISC, b-JACKET."
HSTR    5388,,,,,COLUMBIA RECORDS,1947,,,"NELSON EDDY: SONGS OF FRIML FROM ""NORTHWEST OUTPOST"" EDDY, NELSON (BARITONE) WITH ORCHESTRA AND CHORUS. ARMBRUSTER, ROBERT (DIRECTOR). COLUMBIA MASTERWORKS MM-690. NO RPM. BLACK SPINE. RAINBOW COLORED COVER. a-ALBUM, b-d-DISCS, e-PAD."
HSTR    5389,,,,,COLUMBIA RECORDS,CIRCA 1945,,,"CHOPIN: SONATA NO.2 IN B-FLAT MINOR, OP.35 KILENYI, EDWARD (PIANO). COLUMBIA MASTERWORKS M-378. NO RPM. BLACK SPINE. BLACK, RED AND WHITE COVER. INSIDE ARE COPIES OF NEWS STORIES ABOUT KILENYI. a-ALBUM, b-d-DISCS, e-f-PADS."
HSTR    5390,,,,,RCA VICTOR,,,,"SEASON'S GREETINGS VARIOUS ARTISTS. RCA VICTOR, VARIOUS RECORDING NUMBERS. NO RPM. BROWN LEATHER SPINE. LIGHT BROWN COVER EMBOSSED: ""SEASON'S GREETINGS/FRANK M. FOLSOM"". a-ALBUM, b-e-DISCS. SEE CATALOG FOLDER. LEATHER DETERIORATING."
HSTR    5391,,,,,RCA VICTOR,1950,,,"MOZART: SYMPHONY NO.35 IN D, K.385 (""HAFFNER"") NBC SYMPHONY ORCHESTRA. TOSCANINI, ARTURO (CONDUCTOR). RCA VICTOR WDM-1172. 45 RPM. GREEN BOX WITH GOLD LETTERING. a-BOX, b-PROGRAM, c-e-DISCS, f-h-SLEEVES."
HSTR    5392,,,,,RCA VICTOR,09/20/1952,,,"EDDIE FISHER FISHER, EDDIE (VOCAL) WITH ORCHESTRA AND CHORUS. WINTERHALTER, HUGO (DIRECTOR). RCA VICTOR, VARIOUS RECORDING NUMBERS. 45 RPM. RED AND GRAY ""RCA"" BOX ADDRESSED TO: ""THE PRESIDENT/THE WHITE HOUSE"". a-BOX, b-o-DISCS, p-ac-SLEEVES, ad-af-PADS. SEE CATALOG FOLDER. BOX TORN, SPLIT ALONG CORNERS."
HSTR    5393,,,,,RCA VICTOR,,,,"CHOPIN: PRELUDES, OP.28 RUBINSTEIN, ARTUR (PIANO). RCA VICTOR WDM-1260. 45 RPM. BLACK BOX. PINK AND GREEN COVER. PREVIOUSLY UNOPENED. a-BOX, b-PROGRAM, c-f-DISCS, g-j-SLEEVES. PORTION OF BRITTLE CELLOPHANE WRAPPER DISCARDED 1992."
